# comment: "Edit source: https://docs.google.com/spreadsheets/d/13_zoFywKXRFoa6VbqLYpjq1HJrO8zWMOTxZOCZ8s3Lw/edit"
# creator_id: orcid:0000-0001-8314-2140
# curie_map:
#   MP: http://purl.obolibrary.org/obo/MP_
#   EFO: http://www.ebi.ac.uk/efo/EFO_
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
#   orcid: https://orcid.org/
#   obo: http://purl.obolibrary.org/obo/
#   semapv: https://w3id.org/semapv/vocab/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_provider: https://www.mousephenotype.org
# mapping_set_description: 'Some Mammalian Phenotype Ontology (MP) to
#      Experimental Factor Ontology (EFO) mappings initially curated by Violeta
#      Munoz-Fuentes for The International Mouse Phenotyping Consortium (IMPC) and
#      revised by orcid:0000-0001-8314-2140. This set of MP terms comprises those
#      that have genotype-phenotype association data in the IMPC. The goal of this
#      mapping is to help connect GWAS Catalog phenotypic trait association data
#      (using EFO terms) with genotype-phenotype association data from the IMPC
#      (using MP terms).'
# mapping_set_id: https://w3id.org/sssom/commons/mouse-human/mappings/mp_efo_impc.sssom.tsv
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source	object_source	confidence	mapping_date	author_id
MP:0001785	edema	skos:exactMatch	EFO:0009373	edema	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0002192	hydrops fetalis	skos:broadMatch	EFO:0009373	edema	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0002586	abnormal platelet volume	skos:broadMatch	OBA:0003277	platelet volume	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0002596	abnormal hematocrit	skos:broadMatch	EFO:0004348	hematocrit	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0002668	abnormal circulating potassium level	skos:broadMatch	EFO:0009283	potassium measurement	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0002943	abnormal lactate dehydrogenase level	skos:broadMatch	EFO:0004808	L lactate dehydrogenase measurement	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0003018	abnormal circulating chloride level	skos:broadMatch	OBA:1000959	chloride amount	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0004129	abnormal respiratory quotient	skos:broadMatch	EFO:0005189	respiratory quotient	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0004152	abnormal circulating iron level	skos:relatedMatch	OBA:2050055	serum iron amount	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0005265	abnormal blood urea nitrogen level	skos:broadMatch	OBA:VT0005265	blood urea nitrogen amount	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0005266	abnormal metabolism	skos:broadMatch	OBA:VT0002121	metabolism trait	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0005278	abnormal cholesterol homeostasis	skos:relatedMatch	EFO:0020943	cholesterol:total lipids ratio	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0005288	abnormal oxygen consumption	skos:relatedMatch	EFO:0004887	maximal oxygen uptake measurement	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0005291	abnormal glucose tolerance	skos:broadMatch	EFO:0004307	glucose tolerance test	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0005328	abnormal circulating creatinine level	skos:broadMatch	OBA:2050096	serum creatinine amount	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0005397	hematopoietic system phenotype	skos:relatedMatch	EFO:0004305	erythrocyte count	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0005397	hematopoietic system phenotype	skos:relatedMatch	EFO:0004309	platelet count	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0005397	hematopoietic system phenotype	skos:relatedMatch	EFO:0004348	hematocrit	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0005397	hematopoietic system phenotype	skos:relatedMatch	EFO:0004509	hemoglobin measurement	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0005397	hematopoietic system phenotype	skos:relatedMatch	OBA:0003460	erythrocyte volume	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0005397	hematopoietic system phenotype	skos:relatedMatch	EFO:0004527	mean corpuscular hemoglobin	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0005397	hematopoietic system phenotype	skos:relatedMatch	EFO:0004528	mean corpuscular hemoglobin concentration	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0005397	hematopoietic system phenotype	skos:relatedMatch	OBA:0003277	platelet volume	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0005397	hematopoietic system phenotype	skos:relatedMatch	EFO:0007986	reticulocyte count	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0005397	hematopoietic system phenotype	skos:relatedMatch	OBA:2045223	myeloid leukocyte count	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0005448	abnormal energy homeostasis	skos:relatedMatch	EFO:0009374	energy intake measurement	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0005450	abnormal energy expenditure	skos:relatedMatch	OBA:VT0005450	energy expenditure trait	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0005452	abnormal adipose tissue amount	skos:broadMatch	OBA:VT0005452	adipose amount	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0005475	abnormal circulating thyroxine level	skos:broadMatch	OBA:1001010	thyroxine amount	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0005563	abnormal hemoglobin content	skos:broadMatch	EFO:0004509	hemoglobin measurement	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0005640	abnormal mean corpuscular hemoglobin concentration	skos:broadMatch	EFO:0004528	mean corpuscular hemoglobin concentration	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0008804	abnormal circulating amylase level	skos:broadMatch	EFO:0803343	amylase measurement	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0008820	abnormal blood uric acid level	skos:broadMatch	EFO:0004761	uric acid measurement	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0008961	abnormal basal metabolism	skos:broadMatch	EFO:0005115	metabolic rate measurement	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0008962	abnormal carbon dioxide production	skos:broadMatch	OBA:1000957	carbon dioxide amount	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0010066	abnormal red blood cell distribution width	skos:broadMatch	EFO:0009188	Red cell distribution width	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0010086	abnormal circulating fructosamine level	skos:broadMatch	EFO:0009303	fructosamine measurement	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0010089	abnormal circulating creatine kinase level	skos:broadMatch	EFO:0004534	creatine kinase measurement	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0010163	hemolysis	skos:exactMatch	EFO:0009473	hemolysis	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0011885	abnormal circulating lipase level	skos:broadMatch	OBA:2050069	serum lipase activity amount	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0011888	abnormal circulating total protein level	skos:broadMatch	EFO:0004536	total blood protein measurement	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0011889	abnormal circulating ferritin level	skos:broadMatch	EFO:0004459	ferritin measurement	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0011892	abnormal circulating transferrin level	skos:broadMatch	EFO:0006341	transferrin measurement	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0011895	abnormal circulating unsaturated transferrin level	skos:broadMatch	EFO:0006334	total iron binding capacity	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0011898	abnormal platelet cell number	skos:broadMatch	EFO:0004309	platelet count	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0011898	abnormal platelet cell number	skos:broadMatch	OBA:VT0003179	platelet quantity	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0011969	abnormal circulating triglyceride level	skos:broadMatch	EFO:0004530	triglyceride measurement	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0011970	abnormal circulating lactate dehydrogenase level	skos:broadMatch	EFO:0004808	L lactate dehydrogenase measurement	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0011973	abnormal circulating glycerol level	skos:broadMatch	OBA:1000966	glycerol amount	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
MP:0013277	abnormal fasting circulating glucose level	skos:broadMatch	OBA:VT0000188	blood glucose amount	semapv:ManualMappingCuration	MP	EFO	1	2025-05-23	orcid:0000-0001-8314-2140
